Timestamp,Open,High,Low,Close,Volume
2024-11-14,225.4,243.2133,212.64,227.505,52570140
2024-11-15,226.89,234.9083,213.7986,225.27,57038950
2024-11-18,226.0,231.1175,212.581,228.1,55945373
2024-11-19,228.92,230.16,213.1253,228.44,43336689
2024-11-20,228.45,229.93,225.89,228.24,41560223
2024-11-21,228.32,230.155,212.6298,228.5602,48371978
2024-11-22,228.35,230.7199,216.7766,229.935,43729291
2024-11-25,229.87,233.245,228.85,231.055,129510355
2024-11-26,232.9,247.6583,226.8636,235.53,52439932
2024-11-27,235.51,250.5416,225.595,235.25,41652803
2024-11-29,235.46,251.7307,230.3802,237.445,34679888
2024-12-02,237.4,256.3875,232.06,239.705,54742481
2024-12-03,240.0,258.8842,226.08,242.935,45191516
2024-12-04,242.8,244.11,240.355,242.775,52179006
2024-12-05,242.5,244.54,217.0012,242.9,45873109
2024-12-06,242.5,244.63,239.5398,242.355,43743355
2024-12-09,242.0,264.1472,229.87,247.245,51218377
2024-12-10,246.75,258.6086,242.0,247.69,43591766
2024-12-11,247.45,258.4298,229.0,246.38,51664965
2024-12-12,247.97,251.7307,229.87,247.125,37970365
2024-12-13,247.4,249.905,230.3802,248.03,39184240
